time,joint_positions,joint_velocities,end_effector_position,velocity_magnitude
118.763,"[0.24974165756583666, -0.32993765198902913, 1.5599291773971453]","[-4.9965142611119786e-05, 2.0641446940858476e-05, 4.511121368388559e-05]","[0.6346817826553124, 0.12095778164197421, 0.48750827070479225]",0.01122098673571439
119.696,"[0.2497413505039967, -0.32993732845831936, 1.5599246099855488]","[-3.2692415982564805e-05, 1.8475837197860227e-05, 5.4385986763595356e-05]","[0.6346820516170237, 0.12095904126037443, 0.4875096207066957]",0.011220615341333211
120.443,"[0.24974316496353843, -0.3299370258250027, 1.5599213302057668]","[-4.740857331398374e-05, 2.029511336260791e-05, 4.117456267005425e-05]","[0.634682575350743, 0.12095928085223118, 0.48751103990054173]",0.011220026386517916
121.195,"[0.24974389199116054, -0.32993673566088866, 1.5599190416279871]","[-4.213619892812312e-05, 2.692682336196549e-05, 5.0361761945453144e-05]","[0.6346820137008341, 0.1209608778334281, 0.48751065942759203]",0.011219694563428907
121.875,"[0.24974674891372306, -0.329936725977948, 1.5599198300531265]","[-4.8964047765338906e-05, 2.1354985300886903e-05, 5.417252302683268e-05]","[0.6346834048770197, 0.12096007418261776, 0.4875135100748751]",0.011219316589973648
122.67,"[0.2497446226309865, -0.3299361831298846, 1.5599139191316223]","[-4.762677031708413e-05, 1.6743387928743943e-05, 5.850974643537565e-05]","[0.634682757928308, 0.12096200360682752, 0.4875131361799865]",0.011219098115876892
123.562,"[0.24974846454811228, -0.32993615493461803, 1.5599148633636526]","[-3.116956469685134e-05, 1.3424479756345394e-05, 5.8750247735113224e-05]","[0.6346841970604874, 0.12096135900857007, 0.4875162245858222]",0.011218578700762765
124.312,"[0.24974653707413186, -0.3299354499936591, 1.5599079888923049]","[-4.135116988281621e-05, 2.0653092408040154e-05, 5.072305725589815e-05]","[0.6346836409829673, 0.12096376813209313, 0.4875164574151088]",0.011218234808844327
125.27,"[0.24975064593800145, -0.32993503797099155, 1.5599066611674424]","[-5.567598104555774e-05, 1.7078837621815128e-05, 4.988033796432255e-05]","[0.634684827927833, 0.12096407351954891, 0.4875195269616269]",0.011217450892171448
126.042,"[0.2497524575595822, -0.3299345485558103, 1.5599026401441183]","[-4.1639326117175865e-05, 2.6949308428049836e-05, 5.10105433861551e-05]","[0.634684935779045, 0.1209652007483398, 0.4875204927107362]",0.011216785838528765
126.81,"[0.24975319721988853, -0.3299342248221615, 1.5599001436674085]","[-4.662302787371657e-05, 2.039348848283121e-05, 4.24921716669791e-05]","[0.6346855141480203, 0.12096558760919009, 0.4875220747492817]",0.011216431822988931
